model,problem,cost,time,solution
SA,ft06,78,8.518320322036743,"[0, 20, 15, 46, 0, 9]"
SA,ft06,74,6.183815956115723,"[0, 17, 18, 41, 46, 0]"
SA,ft06,74,6.575650930404663,"[0, 17, 18, 25, 50, 0]"
SA,ft06,83,9.223425388336182,"[0, 33, 45, 34, 0, 5]"
average-swap,la01,1145,55.64381694793701,"[744, 318, 418, 791, 416, 9, 200, 23, 630, 721]"
average-swap,la01,1239,40.37870049476624,"[966, 780, 558, 204, 4, 13, 355, 550, 762, 869]"
average-swap,la01,1198,59.17986226081848,"[322, 418, 259, 456, 61, 75, 664, 859, 601, 828]"
average-swap,la01,1144,54.54837703704834,"[576, 390, 220, 48, 717, 287, 480, 898, 905, 13]"
average-swap,la01,1190,56.25084090232849,"[114, 694, 552, 361, 774, 755, 18, 213, 957, 299]"
average-swap,la01,1058,58.429712772369385,"[194, 868, 646, 470, 757, 728, 98, 279, 46, 365]"
average-swap,la01,1154,59.61523389816284,"[590, 686, 389, 22, 387, 678, 184, 908, 915, 17]"
average-swap,la01,1210,54.64646315574646,"[562, 46, 499, 278, 77, 38, 662, 857, 445, 840]"
average-swap,la01,1141,55.66233658790589,"[577, 673, 376, 22, 374, 665, 171, 895, 902, 4]"
average-swap,la01,1137,55.08333826065064,"[138, 436, 268, 447, 607, 807, 23, 820, 1, 432]"
average-swap,la01,1178,60.04259967803955,"[153, 787, 565, 393, 888, 848, 57, 252, 19, 338]"
average-swap,la01,1228,40.35468244552612,"[928, 742, 283, 111, 382, 334, 815, 564, 585, 12]"
average-swap,la01,1164,57.17763590812683,"[600, 696, 378, 24, 376, 688, 173, 918, 925, 6]"
average-swap,la01,1145,61.117023229599,"[146, 446, 276, 455, 615, 815, 33, 828, 11, 442]"
average-swap,la01,1184,56.23482728004456,"[147, 580, 962, 392, 764, 766, 51, 246, 13, 332]"
average-swap,la01,1159,57.040518045425415,"[618, 432, 210, 244, 12, 32, 718, 913, 412, 557]"
average-swap,la01,1184,57.20365929603577,"[853, 394, 652, 206, 6, 15, 757, 938, 376, 492]"
average-swap,la01,1129,57.43135619163513,"[554, 294, 230, 251, 858, 765, 445, 23, 55, 759]"
average-swap,la01,1125,53.95937275886536,"[737, 398, 334, 355, 94, 4, 504, 879, 886, 1]"
average-swap,la01,1153,57.69456958770752,"[585, 399, 213, 41, 726, 295, 489, 907, 914, 21]"
average-swap,la01,1253,40.37569689750672,"[640, 623, 559, 894, 5, 14, 210, 345, 792, 883]"
average-swap,la01,1234,40.63842296600342,"[961, 775, 550, 196, 548, 5, 344, 21, 755, 864]"
average-swap,la01,1203,50.41482758522034,"[872, 374, 580, 408, 18, 32, 762, 957, 230, 370]"
average-swap,la01,1186,51.49525308609009,"[784, 598, 376, 22, 374, 856, 171, 869, 580, 4]"
